School,Section, Very Ahead +5, Middling +0, Behind -1-5,More Behind -6-10, Very Behind -11, Completed
A,1,0,5,54,3,9,10
A,2,0,8,40,10,16,6
A,3,0,9,35,12,13,11
A,4,0,14,44,5,12,10
A,5,0,9,42,2,24,8
A,6,0,7,29,3,10,9
A,7,0,19,22,5,14,19
A,8,0,3,37,11,18,5
A,9,0,6,29,8,12,10
A,10,0,13,40,5,5,20
A,11,0,8,32,4,10,15
A,12,0,2,16,2,3,14
A,13,0,10,30,3,8,5
B,1,0,4,22,0,6,7
B,2,0,5,7,2,1,3
B,3,0,6,31,1,1,8
B,4,0,4,7,0,0,7
B,5,0,8,14,4,0,14
B,6,0,8,11,1,2,18
B,7,0,9,21,0,2,13
B,8,0,10,23,2,5,6
B,9,0,10,21,0,3,5
B,10,0,3,8,1,1,15
B,11,0,7,19,2,1,10
B,12,0,10,17,1,0,19
C,1,0,2,15,2,4,13
C,2,0,7,20,1,7,1
C,3,0,2,4,1,1,5
D,1,0,3,8,2,6,3
E,1,0,11,56,7,15,27
